"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-103a-3p",938.650863677615,1.04837644091725,0.234335069511305,4.47383502223373,7.68290285326455e-06,0.00109097220516357
"hsa-miR-1307-3p",76.0241032208152,1.28108582088519,0.301133849687049,4.25420729757398,2.09790883182401e-05,0.00148951527059504
"hsa-let-7f-5p",8992.43131477155,0.575436816311711,0.152518899528483,3.77288859341821,0.000161368354912806,0.0076381021325395
"hsa-miR-370-3p",234.227629969419,1.4477142396913,0.472058718922107,3.0668096608765,0.00216356578694152,0.0718459191667465
"hsa-miR-191-5p",596.95453760342,0.584864227408607,0.196216024233992,2.98071592109696,0.0028757542596887,0.0718459191667465
"hsa-miR-30a-5p",124.274699535488,-0.720947051985008,0.243226681784783,-2.96409524931533,0.00303574306338366,0.0718459191667465
"hsa-miR-155-5p",37.8089798883531,-0.682336112414014,0.236437638921029,-2.88590308855993,0.00390292316538727,0.0791735842121418
"hsa-miR-199b-3p",362.581852324953,0.7975375784649,0.287509711626462,2.77395004834159,0.0055380180877244,0.09552393836545
"hsa-miR-199a-3p",729.59882429032,0.812835025200251,0.297079241714143,2.73608825884368,0.00621743478687225,0.09552393836545
"hsa-let-7d-5p",136.701364338852,0.63330455144877,0.233686262529009,2.71006324717164,0.00672703791305986,0.09552393836545
"hsa-let-7c-5p",209.822783116145,-0.539101583085131,0.205771766803023,-2.61990063778376,0.00879553901019062,0.0965942082089631
"hsa-miR-29b-3p",55.8053380491285,-1.42500125133598,0.547154495531792,-2.60438553091113,0.00920391601200765,0.0965942082089631
"hsa-miR-223-3p",1889.90337946254,0.86572199276512,0.337836467973781,2.56254748919619,0.0103907376418795,0.0965942082089631
"hsa-miR-27a-3p",64.1123287022948,-0.612987843386415,0.240726679976461,-2.5464059216301,0.0108838544460803,0.0965942082089631
"hsa-miR-146a-5p",549.067268710959,0.62000271823374,0.249597719989565,2.48400793989488,0.0129912911363946,0.104469354141585
"hsa-miR-939-5p",7.25853151451845,-1.3349963121985,0.538911155425375,-2.47721038757262,0.0132413823063606,NA
"hsa-miR-574-5p",31.9013128134874,-0.611020781507692,0.253965609785314,-2.40591937634473,0.0161318244263601,0.118635570311916
"hsa-miR-339-5p",11.4060311667143,1.0482695132827,0.436289470997342,2.40269266843959,0.0162748587559755,NA
"hsa-miR-409-3p",60.5351346478383,0.852391600762556,0.360547595149002,2.36415833091409,0.0180710875938174,0.118635570311916
"hsa-miR-15b-5p",53.446768771441,0.672245205890811,0.284524471695889,2.36269731697923,0.0181424805681151,0.118635570311916
"hsa-miR-221-3p",69.4861273554244,0.68301970700608,0.289676650955986,2.35786938557868,0.0183801587807194,0.118635570311916
"hsa-miR-598-3p",2.80447326192592,-1.37382506178575,0.586549863094991,-2.34221359210046,0.0191697407504608,NA
"hsa-miR-140-5p",7.00923374519618,-1.00915946094656,0.432620248161986,-2.3326681199829,0.0196655706447646,NA
"hsa-miR-1301-3p",8.04194595328391,1.06003005566555,0.460562209986992,2.30160015884823,0.0213577311800093,NA
"hsa-miR-744-5p",72.8583141045064,0.723544916376012,0.315144290483877,2.29591630952625,0.0216806670260627,0.128564916995249
"hsa-let-7e-5p",114.156495766699,0.539016019291706,0.234858505790957,2.29506705527401,0.0217292817456759,0.128564916995249
"hsa-miR-29a-3p",59.3066647806903,-0.784238938146592,0.347184410412357,-2.2588541265869,0.0238924603185571,0.133969882622398
"hsa-miR-203a-3p",5.16306382473164,-1.58207398828434,0.709918818809213,-2.22852803217422,0.0258453241674673,NA
"hsa-miR-320e",167.190057080129,-1.03477193521472,0.47621386258894,-2.17291434900524,0.0297867643049557,0.151061447546561
"hsa-miR-625-3p",13.2978305269875,1.10143454397464,0.515118309952564,2.13821664400955,0.0324991641370942,NA
"hsa-miR-22-3p",857.607065858083,0.555901282962077,0.262460441812492,2.11803835703068,0.0341718193455421,0.167324080933344
"hsa-miR-191-3p",1.98073674713905,1.7902357798492,0.855620368214269,2.09232487485721,0.0364094640016855,NA
"hsa-miR-30e-3p",18.4197588857412,0.724110817890695,0.350814080039457,2.06408710223162,0.0390094586295618,0.184644770846593
"hsa-miR-206",5.60515451644637,2.31044254479504,1.12202542662747,2.05917128967359,0.0394778324741388,NA
"hsa-miR-130b-3p",2.38560628943003,1.16945589025611,0.574530374141663,2.03549880544305,0.0418007086241466,NA
"hsa-miR-342-5p",24.2965932602765,-0.819968591043603,0.408346004388741,-2.00802403410565,0.0446407377572198,0.198093273797663
"hsa-miR-11400",7.74817715596045,0.905429251982022,0.460408506300161,1.96657802710476,0.0492318787040446,NA
