ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0048608,reproductive structure development,Mar-19,314/18805,0.00955414,9.456084479,4.805501316,0.003664272,0.02983764,0.015332682,CASP3/TGFBR1/SIRT1,3
GO:0001666,response to hypoxia,Mar-19,316/18805,0.009493671,9.396235843,4.786920577,0.0037302,0.030106461,0.015470822,CASP3/NF1/SIRT1,3
GO:0048708,astrocyte differentiation,Feb-19,91/18805,0.021978022,21.75245807,6.310905707,0.003753956,0.030106461,0.015470822,MYCN/NF1,2
GO:0061458,reproductive system development,Mar-19,318/18805,0.009433962,9.33714002,4.768504508,0.003796856,0.030106461,0.015470822,CASP3/TGFBR1/SIRT1,3
GO:0014020,primary neural tube formation,Feb-19,92/18805,0.02173913,21.51601831,6.273357618,0.003835072,0.030106461,0.015470822,CASP3/SALL4,2
GO:0019319,hexose biosynthetic process,Feb-19,92/18805,0.02173913,21.51601831,6.273357618,0.003835072,0.030106461,0.015470822,RANBP2/SIRT1,2
GO:0071230,cellular response to amino acid stimulus,Feb-19,92/18805,0.02173913,21.51601831,6.273357618,0.003835072,0.030106461,0.015470822,COL3A1/COL1A2,2
GO:0006302,double-strand break repair,Mar-19,323/18805,0.009287926,9.192602249,4.723168194,0.003966693,0.03095437,0.015906537,HMGA2/CHD4/SIRT1,3
GO:0046364,monosaccharide biosynthetic process,Feb-19,94/18805,0.021276596,21.05823068,6.200016022,0.003999752,0.031027665,0.015944201,RANBP2/SIRT1,2
GO:0001822,kidney development,Mar-19,325/18805,0.009230769,9.136032389,4.705308778,0.004035913,0.031124013,0.015993712,TGFBR1/NF1/EZH2,3
GO:2000106,regulation of leukocyte apoptotic process,Feb-19,95/18805,0.021052632,20.8365651,6.164191801,0.004083314,0.031305409,0.016086926,NF1/SIRT1,2
GO:0010660,regulation of muscle cell apoptotic process,Feb-19,96/18805,0.020833333,20.61951754,6.128912418,0.004167688,0.031468315,0.016170638,IGF1R/SIRT1,2
GO:0048704,embryonic skeletal system morphogenesis,Feb-19,96/18805,0.020833333,20.61951754,6.128912418,0.004167688,0.031468315,0.016170638,TGFBR1/MYCN,2
GO:0050890,cognition,Mar-19,329/18805,0.009118541,9.024956007,4.670048546,0.004176573,0.031468315,0.016170638,CASP3/NF1/CCND2,3
GO:0036293,response to decreased oxygen levels,Mar-19,330/18805,0.009090909,8.997607656,4.661327359,0.004212201,0.031555406,0.016215392,CASP3/NF1/SIRT1,3
GO:0051100,negative regulation of binding,Feb-19,97/18805,0.020618557,20.4069452,6.094163879,0.004252873,0.03167907,0.016278939,MAPK8/HMGA2,2
GO:0051336,regulation of hydrolase activity,Mar-19,334/18805,0.008982036,8.889851875,4.626809747,0.004356582,0.032268242,0.016581697,NF1/EZH2/SIRT1,3
GO:0072001,renal system development,Mar-19,336/18805,0.008928571,8.83693609,4.609767439,0.004429895,0.032510462,0.016706167,TGFBR1/NF1/EZH2,3
GO:0060562,epithelial tube morphogenesis,Mar-19,337/18805,0.008902077,8.810713728,4.601299483,0.004466834,0.032510462,0.016706167,CASP3/MYCN/SALL4,3
GO:0048545,response to steroid hormone,Mar-19,338/18805,0.00887574,8.784646528,4.592866647,0.004503961,0.032510462,0.016706167,CASP3/IGF1R/SIRT1,3
GO:0001841,neural tube formation,Feb-19,100/18805,0.02,19.79473684,5.992970718,0.004513275,0.032510462,0.016706167,CASP3/SALL4,2
GO:0070664,negative regulation of leukocyte proliferation,Feb-19,100/18805,0.02,19.79473684,5.992970718,0.004513275,0.032510462,0.016706167,CASP3/NF1,2
GO:0048872,homeostasis of number of cells,Mar-19,339/18805,0.008849558,8.758733116,4.584468674,0.004541277,0.032533409,0.016717959,CASP3/NF1/EZH2,3
GO:0048661,positive regulation of smooth muscle cell proliferation,Feb-19,101/18805,0.01980198,19.59874935,5.960215249,0.004601687,0.032609795,0.016757212,IGF1R/NF1,2
GO:0071229,cellular response to acid chemical,Feb-19,101/18805,0.01980198,19.59874935,5.960215249,0.004601687,0.032609795,0.016757212,COL3A1/COL1A2,2
GO:0060485,mesenchyme development,Mar-19,342/18805,0.00877193,8.681902124,4.559481421,0.004654358,0.032711558,0.016809504,TGFBR1/HMGA2/EZH2,3
GO:0010657,muscle cell apoptotic process,Feb-19,102/18805,0.019607843,19.40660475,5.927927703,0.004690902,0.032711558,0.016809504,IGF1R/SIRT1,2
GO:0043279,response to alkaloid,Feb-19,102/18805,0.019607843,19.40660475,5.927927703,0.004690902,0.032711558,0.016809504,CASP3/IGF1R,2
GO:0045787,positive regulation of cell cycle,Mar-19,344/18805,0.00872093,8.631425949,4.542992996,0.004730695,0.032814503,0.016862404,IGF1R/CCND2/EZH2,3
GO:0010906,regulation of glucose metabolic process,Feb-19,103/18805,0.019417476,19.21819111,5.896096763,0.004780919,0.032988338,0.016951733,RANBP2/SIRT1,2
GO:0009408,response to heat,Feb-19,104/18805,0.019230769,19.03340081,5.864711497,0.004871735,0.033438975,0.017183302,NF1/SIRT1,2
GO:0043255,regulation of carbohydrate biosynthetic process,Feb-19,105/18805,0.019047619,18.85213033,5.833761334,0.004963349,0.033890369,0.017415261,RANBP2/SIRT1,2
GO:0008585,female gonad development,Feb-19,106/18805,0.018867925,18.67428004,5.803236055,0.005055761,0.034342498,0.017647596,CASP3/SIRT1,2
GO:0021549,cerebellum development,Feb-19,108/18805,0.018518519,18.32846004,5.743420919,0.005242968,0.03543057,0.018206724,IGF1R/EZH2,2
GO:0070482,response to oxygen levels,Mar-19,358/18805,0.008379888,8.293884152,4.431209297,0.005286504,0.035541572,0.018263765,CASP3/NF1/SIRT1,3
GO:0010506,regulation of autophagy,Mar-19,359/18805,0.008356546,8.27078141,4.423458662,0.005327653,0.035635476,0.018312019,MAPK8/CASP3/SIRT1,3
GO:0031346,positive regulation of cell projection organization,Mar-19,360/18805,0.008333333,8.247807018,4.415738072,0.005368997,0.035729721,0.018360449,IGF1R/TGFBR1/EZH2,3
GO:0046545,development of primary female sexual characteristics,Feb-19,110/18805,0.018181818,17.99521531,5.685190761,0.005433344,0.035794541,0.018393758,CASP3/SIRT1,2
GO:0048144,fibroblast proliferation,Feb-19,110/18805,0.018181818,17.99521531,5.685190761,0.005433344,0.035794541,0.018393758,NF1/COL3A1,2
GO:0045765,regulation of angiogenesis,Mar-19,363/18805,0.008264463,8.179643323,4.392754536,0.005494199,0.035888406,0.018441993,HMGA2/NF1/SIRT1,3
GO:0003279,cardiac septum development,Feb-19,111/18805,0.018018018,17.83309625,5.656647808,0.005529716,0.035888406,0.018441993,TGFBR1/SALL4,2
GO:1901655,cellular response to ketone,Feb-19,111/18805,0.018018018,17.83309625,5.656647808,0.005529716,0.035888406,0.018441993,IGF1R/SIRT1,2
GO:0019218,regulation of steroid metabolic process,Feb-19,112/18805,0.017857143,17.67387218,5.628474969,0.005626877,0.036339089,0.018673586,IGF1R/SIRT1,2
GO:0042752,regulation of circadian rhythm,Feb-19,113/18805,0.017699115,17.51746623,5.600664091,0.005724823,0.036790406,0.018905504,MAPK8/EZH2,2
GO:0001776,leukocyte homeostasis,Feb-19,114/18805,0.01754386,17.36380425,5.573207274,0.005823554,0.037242338,0.019137738,CASP3/NF1,2
GO:0050767,regulation of neurogenesis,Mar-19,372/18805,0.008064516,7.981748727,4.325361752,0.005880404,0.037423347,0.019230753,MYCN/NF1/EZH2,3
GO:0016236,macroautophagy,Mar-19,374/18805,0.00802139,7.939065578,4.310693118,0.005968399,0.037799862,0.019424233,MAPK8/CASP3/SIRT1,3
GO:0043547,positive regulation of GTPase activity,Feb-19,117/18805,0.017094017,16.9185785,5.492885729,0.00612444,0.038601638,0.019836243,NF1/EZH2,2
GO:0001824,blastocyst development,Feb-19,118/18805,0.016949153,16.77520071,5.466770815,0.006226294,0.038869867,0.019974078,TGFBR1/SALL4,2
GO:0022037,metencephalon development,Feb-19,118/18805,0.016949153,16.77520071,5.466770815,0.006226294,0.038869867,0.019974078,IGF1R/EZH2,2
GO:0001838,embryonic epithelial tube formation,Feb-19,121/18805,0.016528926,16.35928665,5.390307787,0.006536515,0.040613131,0.02086989,CASP3/SALL4,2
GO:0030336,negative regulation of cell migration,Mar-19,388/18805,0.007731959,7.652604449,4.210977136,0.006606722,0.04085572,0.020994549,TGFBR1/NF1/COL3A1,3
GO:0030522,intracellular receptor signaling pathway,Mar-19,393/18805,0.007633588,7.55524307,4.176566059,0.006844257,0.041791559,0.021475449,MAPK8/EZH2/SIRT1,3
GO:0030326,embryonic limb morphogenesis,Feb-19,124/18805,0.016129032,15.96349745,5.316534778,0.006853688,0.041791559,0.021475449,MYCN/SALL4,2
GO:0035113,embryonic appendage morphogenesis,Feb-19,124/18805,0.016129032,15.96349745,5.316534778,0.006853688,0.041791559,0.021475449,MYCN/SALL4,2
GO:0046660,female sex differentiation,Feb-19,125/18805,0.016,15.83578947,5.292513752,0.006960951,0.042249105,0.021710568,CASP3/SIRT1,2
GO:0010717,regulation of epithelial to mesenchymal transition,Feb-19,126/18805,0.015873016,15.7101086,5.268768336,0.00706898,0.042511161,0.021845231,TGFBR1/EZH2,2
GO:1901989,positive regulation of cell cycle phase transition,Feb-19,126/18805,0.015873016,15.7101086,5.268768336,0.00706898,0.042511161,0.021845231,CCND2/EZH2,2
GO:2001233,regulation of apoptotic signaling pathway,Mar-19,399/18805,0.007518797,7.441630392,4.136064511,0.007136008,0.042718295,0.021951671,TGFBR1/NF1/SIRT1,3
GO:0001701,in utero embryonic development,Mar-19,403/18805,0.007444169,7.367768055,4.109528612,0.007334598,0.043509764,0.022358384,TGFBR1/SALL4/COL3A1,3
GO:2000146,negative regulation of cell motility,Mar-19,403/18805,0.007444169,7.367768055,4.109528612,0.007334598,0.043509764,0.022358384,TGFBR1/NF1/COL3A1,3
GO:0003231,cardiac ventricle development,Feb-19,129/18805,0.015503876,15.34475724,5.199132532,0.007397653,0.043686141,0.022449019,TGFBR1/SALL4,2
GO:0045786,negative regulation of cell cycle,Mar-19,405/18805,0.007407407,7.331384016,4.096396801,0.007435125,0.043710532,0.022461552,CASP3/EZH2/SIRT1,3
GO:0021987,cerebral cortex development,Feb-19,130/18805,0.015384615,15.22672065,5.176437057,0.007508734,0.043946207,0.022582659,NF1/COL3A1,2
GO:0001654,eye development,Mar-19,415/18805,0.007228916,7.15472416,4.032055859,0.007950151,0.046178728,0.023729886,TGFBR1/PXDN/NF1,3
GO:0072175,epithelial tube formation,Feb-19,134/18805,0.014925373,14.77219167,5.088109285,0.007960635,0.046178728,0.023729886,CASP3/SALL4,2
GO:0048706,embryonic skeletal system development,Feb-19,135/18805,0.014814815,14.66276803,5.066618247,0.008075497,0.046638664,0.023966233,TGFBR1/MYCN,2
GO:0150063,visual system development,Mar-19,419/18805,0.007159905,7.086421304,4.006915255,0.008161976,0.046893217,0.02409704,TGFBR1/PXDN/NF1,3
GO:0051384,response to glucocorticoid,Feb-19,136/18805,0.014705882,14.55495356,5.045354927,0.008191111,0.046893217,0.02409704,CASP3/IGF1R,2
GO:0040013,negative regulation of locomotion,Mar-19,421/18805,0.007125891,7.052756595,3.994468627,0.008269141,0.047134104,0.024220825,TGFBR1/NF1/COL3A1,3
GO:0018205,peptidyl-lysine modification,Feb-19,138/18805,0.014492754,14.3440122,5.00349503,0.008424589,0.047655961,0.024488992,RANBP2/SIRT1,2
GO:0048880,sensory system development,Mar-19,426/18805,0.007042254,6.969977761,3.963705112,0.00854072,0.047655961,0.024488992,TGFBR1/PXDN/NF1,3
GO:0007266,Rho protein signal transduction,Feb-19,139/18805,0.014388489,14.24081787,4.982890505,0.008542449,0.047655961,0.024488992,COL3A1/COL1A2,2
GO:0035270,endocrine system development,Feb-19,139/18805,0.014388489,14.24081787,4.982890505,0.008542449,0.047655961,0.024488992,TGFBR1/NF1,2
GO:0050768,negative regulation of neurogenesis,Feb-19,139/18805,0.014388489,14.24081787,4.982890505,0.008542449,0.047655961,0.024488992,MYCN/NF1,2
GO:0042692,muscle cell differentiation,Mar-19,429/18805,0.006993007,6.921236658,3.945484458,0.00870619,0.048363623,0.024852639,CASP3/EZH2/SIRT1,3
