ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0045860,positive regulation of protein kinase activity,Apr-19,210/18805,0.019047619,18.85213033,8.273444681,5.14E-05,0.001923717,0.000988541,HMGA2/CCND2/EZH2/SIRT1,4
GO:0051216,cartilage development,Apr-19,210/18805,0.019047619,18.85213033,8.273444681,5.14E-05,0.001923717,0.000988541,TGFBR1/MYCN/HMGA2/COL3A1,4
GO:0042698,ovulation cycle,Mar-19,75/18805,0.04,39.58947368,10.64916022,5.64E-05,0.002029872,0.001043091,CASP3/IGF1R/SIRT1,3
GO:0071900,regulation of protein serine/threonine kinase activity,Apr-19,217/18805,0.01843318,18.24399709,8.125240763,5.83E-05,0.002029872,0.001043091,HMGA2/CCND2/EZH2/SIRT1,4
GO:0042327,positive regulation of phosphorylation,May-19,437/18805,0.011441648,11.32422016,6.94467303,5.88E-05,0.002029872,0.001043091,RICTOR/HMGA2/CCND2/EZH2/SIRT1,5
GO:0071394,cellular response to testosterone stimulus,Feb-19,12/18805,0.166666667,164.9561404,18.0677892,6.34E-05,0.002126205,0.001092594,IGF1R/SIRT1,2
GO:0033674,positive regulation of kinase activity,Apr-19,223/18805,0.01793722,17.75312721,8.003627222,6.49E-05,0.002126205,0.001092594,HMGA2/CCND2/EZH2/SIRT1,4
GO:0048844,artery morphogenesis,Mar-19,83/18805,0.036144578,35.7736208,10.09712197,7.63E-05,0.002441112,0.001254415,TGFBR1/NF1/COL3A1,3
GO:0140718,facultative heterochromatin formation,Feb-19,14/18805,0.142857143,141.3909774,16.7114076,8.74E-05,0.002727444,0.001401553,EZH2/SIRT1,2
GO:0007264,small GTPase-mediated signal transduction,May-19,487/18805,0.01026694,10.16156922,6.514484923,9.82E-05,0.002968759,0.001525558,NGF/NRAS/NF1/COL3A1/COL1A2,5
GO:0010562,positive regulation of phosphorus metabolic process,May-19,493/18805,0.010141988,10.03789901,6.467073794,0.00010407,0.002968759,0.001525558,RICTOR/HMGA2/CCND2/EZH2/SIRT1,5
GO:0045937,positive regulation of phosphate metabolic process,May-19,493/18805,0.010141988,10.03789901,6.467073794,0.00010407,0.002968759,0.001525558,RICTOR/HMGA2/CCND2/EZH2/SIRT1,5
GO:0007179,transforming growth factor beta receptor signaling pathway,Apr-19,252/18805,0.015873016,15.7101086,7.476422572,0.000104167,0.002968759,0.001525558,TGFBR1/COL3A1/COL1A2/SIRT1,4
GO:0043523,regulation of neuron apoptotic process,Apr-19,255/18805,0.015686275,15.5252838,7.426899078,0.000109038,0.003020662,0.001552229,CASP3/NGF/NF1/SIRT1,4
GO:0021766,hippocampus development,Mar-19,94/18805,0.031914894,31.58734602,9.454574455,0.000110596,0.003020662,0.001552229,CASP3/IGF1R/EZH2,3
GO:0031669,cellular response to nutrient levels,Apr-19,258/18805,0.015503876,15.34475724,7.378209503,0.000114072,0.003052005,0.001568335,MAPK8/IGF1R/RICTOR/SIRT1,4
GO:0072091,regulation of stem cell proliferation,Mar-19,96/18805,0.03125,30.92927632,9.349562897,0.000117736,0.003087045,0.001586341,TGFBR1/HMGA2/NF1,3
GO:0051347,positive regulation of transferase activity,Apr-19,263/18805,0.015209125,15.05303182,7.298848987,0.000122836,0.003157597,0.001622596,HMGA2/CCND2/EZH2/SIRT1,4
GO:0042542,response to hydrogen peroxide,Mar-19,99/18805,0.03030303,29.99202552,9.19793748,0.000129,0.003224345,0.001656896,CASP3/EZH2/SIRT1,3
GO:0048712,negative regulation of astrocyte differentiation,Feb-19,17/18805,0.117647059,116.4396285,15.14341653,0.000130351,0.003224345,0.001656896,MYCN/NF1,2
GO:0070206,protein trimerization,Feb-19,18/18805,0.111111111,109.9707602,14.70964794,0.000146557,0.00355807,0.001828387,PXDN/COL1A2,2
GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,Apr-19,278/18805,0.014388489,14.24081787,7.073256736,0.000152069,0.003624779,0.001862667,IGF1R/TGFBR1/RICTOR/SIRT1,4
GO:0014013,regulation of gliogenesis,Mar-19,112/18805,0.026785714,26.51080827,8.611493733,0.000185902,0.00435211,0.002236421,MYCN/NF1/EZH2,3
GO:0002062,chondrocyte differentiation,Mar-19,116/18805,0.025862069,25.59664247,8.450775289,0.000206207,0.004660987,0.002395144,TGFBR1/HMGA2/COL3A1,3
GO:0060840,artery development,Mar-19,116/18805,0.025862069,25.59664247,8.450775289,0.000206207,0.004660987,0.002395144,TGFBR1/NF1/COL3A1,3
GO:0007265,Ras protein signal transduction,Mar-19,118/18805,0.025423729,25.16280107,8.373427261,0.000216877,0.004819085,0.002476386,NGF/NRAS/NF1,3
GO:0040029,epigenetic regulation of gene expression,Apr-19,308/18805,0.012987013,12.85372522,6.670591235,0.00022523,0.004821893,0.002477829,MYCN/HMGA2/EZH2/SIRT1,4
GO:0032355,response to estradiol,Mar-19,120/18805,0.025,24.74342105,8.297975128,0.0002279,0.004821893,0.002477829,CASP3/IGF1R/EZH2,3
GO:0051402,neuron apoptotic process,Apr-19,309/18805,0.012944984,12.81212741,6.658144506,0.000228038,0.004821893,0.002477829,CASP3/NGF/NF1/SIRT1,4
GO:0071887,leukocyte apoptotic process,Mar-19,124/18805,0.024193548,23.94524618,8.152452305,0.000251022,0.005223641,0.002684275,CASP3/NF1/SIRT1,3
GO:0062197,cellular response to chemical stress,Apr-19,323/18805,0.012383901,12.256803,6.48972967,0.000270053,0.005531863,0.002842661,MAPK8/CASP3/EZH2/SIRT1,4
