Gene
MAPK8
CASP3
IGF1R
TGFBR1
NGF
NRAS
RICTOR
MYCN
PXDN
HMGA2
SALL4
NF1
CHD4
COL3A1
COL1A2
RANBP2
CCND2
EZH2
SIRT1
