Target
STARD13
HMGA2
IGDCC3
IGF2BP1
FIGNL2
PRTG
NR6A1
LIN28B
ARID3B
C14orf28
TRIM71
SCN8A
DICER1
STARD13
HMGA2
IGDCC3
IGF2BP1
FIGNL2
PRTG
NR6A1
LIN28B
ARID3B
C14orf28
TRIM71
ZNF652
ZIC3
BACH1
JARID2
FIGN
SMARCAD1
PTAFR
NPHP3
GATM
FRMD4B
MED26
ANO3
NPAS3
AGFG1
KIF21A
FIGN
SMARCAD1
PTAFR
NPHP3
GATM
FRMD4B
HIC2
NAP1L1
PGRMC1
CBX5
CCND2
ATP13A3
N4BP1
TWF1
AXIN2
TRIAP1
AMMECR1
SNRK
FBXW7
HIC2
NAP1L1
PGRMC1
CBX5
CCND2
KDM5B
ZNF98
TBR1
IRF2BP2
OLFML3
NME6
SLF2
SALL4
ADAMTS15
MIB1
PAPPA
CDC34
SLC10A7
SFMBT1
LRIG3
ZNF512B
RBM24
JAKMIP2
CLIP1
CLOCK
RIMS3
CPEB3
NME6
SLF2
SALL4
ADAMTS15
MIB1
PAPPA
CDC34
SLC10A7
SFMBT1
LRIG3
ZNF512B
MPEG1
CDX1
ACTL7A
Mar-01
FOS
IKBIP
CHAF1A
NRAS
ZNF710
UTRN
GNG5
PPP1R15B
SKIL
USP44
YOD1
BACH1
GXYLT1
LPGAT1
IGF1R
ZSWIM5
DLC1
CCNJ
PIK3IP1
ZBTB5
STX3
FZD3
MEF2D
PLEKHA1
KIF23
PPIP5K2
MYH9
IARS
NF1
NUP50
AMOT
TNRC6B
PPP6R2
NRAS
ZNF710
UTRN
GNG5
PPP1R15B
SKIL
USP44
YOD1
BACH1
GXYLT1
LPGAT1
IGF1R
ZSWIM5
DLC1
CCNJ
PIK3IP1
ZBTB5
STX3
FZD3
NEURL4
VAV3
TSHZ3
GABARAPL1
GYG1
KANSL1
MYBL1
TP53INP1
RGP1
C8orf58
ZNF644
SMIM3
CLDN12
PXT1
NIPAL4
COIL
AGO4
GNPTAB
ADAMTS8
ADRB2
THRSP
TET3
CLCN5
SMC1A
COL3A1
BIN3
USP42
ARMC1
RNF38
FOXP1
SCN2A
ATF7
ACVR2B
ZBTB10
FGFRL1
ELK4
PTPN4
C8orf58
ZNF644
SMIM3
CLDN12
PXT1
NIPAL4
COIL
AGO4
GNPTAB
ADAMTS8
ADRB2
THRSP
TET3
CLCN5
SMC1A
COL3A1
BIN3
TAF5
