category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,42795,169/9381,0.017751479,9.795683954,4.916218548,0.003243339,0.016798683,0.008678687,MAPK8/IGF1R/NRAS,3
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,42795,170/9381,0.017647059,9.738062284,4.898706081,0.003297901,0.016798683,0.008678687,IGF1R/TGFBR1/NRAS,3
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,42795,178/9381,0.016853933,9.300396563,4.763644125,0.003754927,0.018547062,0.00958195,MAPK8/CCND2/SIRT1,3
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,42795,196/9381,0.015306122,8.446278511,4.488724063,0.004920609,0.02358998,0.012187268,MAPK8/CASP3/NRAS,3
Organismal Systems,Nervous system,hsa04730,Long-term depression,42767,60/9381,0.033333333,18.39411765,5.758932016,0.005143526,0.023954134,0.0123754,IGF1R/NRAS,2
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,42795,205/9381,0.014634146,8.075466284,4.364158059,0.005577272,0.025252647,0.01304625,MAPK8/CASP3/CCND2,3
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,42795,212/9381,0.014150943,7.808823529,4.272422561,0.006123066,0.026953269,0.01392484,IGF1R/NGF/NRAS,3
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,42795,214/9381,0.014018692,7.73584387,4.246982393,0.006284723,0.026953269,0.01392484,MAPK8/CASP3/NRAS,3
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,42795,216/9381,0.013888889,7.664215686,4.221870062,0.006448942,0.026953269,0.01392484,MAPK8/CASP3/NRAS,3
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,42767,69/9381,0.028985507,15.99488491,5.326493187,0.006752434,0.027516168,0.01421565,MAPK8/NRAS,2
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,42767,71/9381,0.028169014,15.54432477,5.241348956,0.007137327,0.028375228,0.014659466,MAPK8/CASP3,2
Human Diseases,Cancer: specific types,hsa05218,Melanoma,42767,73/9381,0.02739726,15.11845286,5.15959399,0.007532022,0.029231419,0.015101799,IGF1R/NRAS,2
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,42767,75/9381,0.026666667,14.71529412,5.081002519,0.007936451,0.029589978,0.01528704,CASP3/CCND2,2
Human Diseases,Cancer: specific types,hsa05214,Glioma,42767,76/9381,0.026315789,14.52167183,5.042828238,0.008142294,0.029589978,0.01528704,IGF1R/NRAS,2
